Game,A3C FF,A3C LSTM
Alien,518.4,945.3
Amidar,263.9,173
Assault,5474.9,14497.9
Asterix,22140.5,17244.5
Asteroids,4474.5,5093.1
Atlantis,911091,875822
Bank,970.1,932.8
Battle,12950,20760
Beam,22707.9,24622.2
Berzerk,817.9,862.2
Bowling,35.1,41.8
Boxing,59.8,37.3
Breakout,681.9,766.8
Centipede,3755.8,1997
Chopper,7021,10150
Crazy,112646,138518
Defender,56533,233021.5
Demon,113308.4,115201.9
Double,-0.1,0.1
Enduro,-82.5,-82.5
Fishing,18.8,22.6
Freeway,0.1,0.1
Frostbite,190.5,197.6
Gopher,10022.8,17106.8
Gravitar,303.5,320
hero,32464.1,28889.5
Ice,-2.8,-1.7
James,541,613
Kangaroo,94,125
Krull,5560,5911.4
KungFuMaster,28819,40835
MontezumaRevenge,67,41
MsPacman,653.7,850.7
Name,10476.1,12093.7
Phoenix,52894.1,74786.7
PitFall,-78.5,-135.7
Pong,5.6,10.7
Private,206.9,421.1
Q*Bert,15148.8,21307.5
RiverRaid,12201.8,6591.9
Road,34216,73949
Robotank,32.8,2.6
Seaquest,2355.4,1326.1
Skiing,-10911.1,-14863.8
Solaris,1956,1936.4
Space,15730.5,23846
Star,138218,164766
Surround,-9.7,-8.3
Tennis,-6.3,-6.4
Time,12679,27202
Tutankham,156.3,144.2
Up,74705.7,105728.7
Venture,23,25
Video,331628.1,470310.5
Wizard,17244,18082
Yars,7157.5,5615.5
Zaxxon,24622,23519
