Algorithm,Score,Extra Training Data,Paper title,Date,Game
Agent57,580328.14,False,,2020-03-30,qbert
QR-DQN-1,572510,False,,2017-10-27,qbert
R2D2,408850.0,False,,2019-05-01,qbert
IMPALA (deep),351200.12,False,,2018-02-05,qbert
Ape-X,302391.3,False,,2018-03-02,qbert
A2C + SIL,104975.6,False,,2018-06-14,qbert
MuZero (Res2 Adam),94906.25,False,,2021-04-13,qbert
MuZero,72276.00,False,,2019-11-19,qbert
DreamerV2,42653,False,,2020-10-05,qbert
NoisyNet-Dueling,27121,False,,2017-06-30,qbert
IQN,25750,False,,2018-06-14,qbert
C51 noop,23784,False,,2017-07-21,qbert
A3C LSTM hs,21307.5,False,,2016-02-04,qbert
Duel noop,19220.3,False,,2015-11-20,qbert
Prior+Duel noop,18760.3,False,,2015-11-20,qbert
UCT,17343.4,False,,2012-07-19,qbert
Prior noop,16256.5,False,,2015-11-18,qbert
MP-EB,15805,False,,2015-07-03,qbert
POP3D,15396.67,False,,2018-07-02,qbert
A3C FF hs,15148.8,False,,2016-02-04,qbert
Bootstrapped DQN,15092.7,False,,2016-02-15,qbert
DDQN (tuned) noop,15088.5,False,,2015-11-20,qbert
VPN,14517,False,,2017-07-11,qbert
Rational DQN Average,14436,False,,2021-02-18,qbert
Advantage Learning,14368.03,False,,2015-12-15,qbert
Duel hs,14175.8,False,,2015-11-20,qbert
MFEC,14135,False,,2020-08-21,qbert
Recurrent Rational DQN Average,14080,False,,2021-02-18,qbert
Prior+Duel hs,14063,False,,2015-09-22,qbert
A3C FF (1 day) hs,13752.3,False,,2016-02-04,qbert
DQN noop,13117.3,False,,2015-09-22,qbert
DDQN (tuned) hs,11020.8,False,,2015-09-22,qbert
Nature DQN,10596,False,,,qbert
Prior hs,9944,False,,2015-11-18,qbert
DQN hs,9271.5,False,,2015-09-22,qbert
Gorila,7089.8,False,,2015-07-15,qbert
DDQN+Pop-Art noop,5236.8,False,,2016-02-24,qbert
DQN Best,4500,False,,2013-12-19,qbert
Qbert Rainbow+SEER,4123.5,False,,2021-03-04,qbert
Sarsa-φ-EB,4111.8,False,,2017-06-25,qbert
Sarsa-ε,3895.3,False,,2017-06-25,qbert
IDVQ + DRSC + XNES,1250,False,,2018-06-04,qbert
CURL,1225.6,False,,2020-04-08,qbert
SARSA,960.3,False,,,qbert
CGP,770,False,,2018-06-14,qbert
Best Learner,613.5,False,,2012-07-19,qbert
SAC,280.5,False,,2019-10-16,qbert
MAC,243.4,False,,2017-09-01,qbert
ES FF (1 hour) noop,147.5,False,,2017-03-10,qbert
MuZero,157177.85,False,,2019-11-19,name this game
MuZero (Res2 Adam),101197.71,False,,2021-04-13,name this game
R2D2,58182.7,False,,2019-05-01,name this game
Agent57,54386.77,False,,2020-03-30,name this game
Ape-X,25783.3,False,,2018-03-02,name this game
IQN,22682,False,,2018-06-14,name this game
QR-DQN-1,21890,False,,2017-10-27,name this game
IMPALA (deep),21537.20,False,,2018-02-05,name this game
DDQN+Pop-Art noop,15851.2,False,,2016-02-24,name this game
Prior+Duel noop,15572.5,False,,2015-11-20,name this game
UCT,15410,False,,2012-07-19,name this game
A2C + SIL,14958.2,False,,2018-06-14,name this game
Prior+Duel hs,13637.9,False,,2015-09-22,name this game
C51 noop,12542.0,False,,2017-07-21,name this game
DreamerV2,12378,False,,2020-10-05,name this game
Prior noop,12270.5,False,,2015-11-18,name this game
NoisyNet-Dueling,12211,False,,2017-06-30,name this game
A3C LSTM hs,12093.7,False,,2016-02-04,name this game
Duel noop,11971.1,False,,2015-11-20,name this game
Bootstrapped DQN,11501.1,False,,2016-02-15,name this game
Duel hs,11185.1,False,,2015-11-20,name this game
Advantage Learning,11025.26,False,,2015-12-15,name this game
DDQN (tuned) noop,10616.0,False,,2015-11-20,name this game
Prior hs,10497.6,False,,2015-11-18,name this game
A3C FF hs,10476.1,False,,2016-02-04,name this game
Persistent AL,10431.33,False,,2015-12-15,name this game
Gorila,9238.5,False,,2015-07-15,name this game
DDQN (tuned) hs,8960.3,False,,2015-09-22,name this game
DQN noop,8207.8,False,,2015-09-22,name this game
Nature DQN,7257.0,False,,,name this game
DQN hs,6738.8,False,,2015-09-22,name this game
POP3D,6065.63,False,,2018-07-02,name this game
A3C FF (1 day) hs,5614.0,False,,2016-02-04,name this game
ES FF (1 hour) noop,4503.0,False,,2017-03-10,name this game
CGP,3696,False,,2018-06-14,name this game
Best Learner,2500.1,False,,2012-07-19,name this game
SARSA,2247.0,False,,,name this game
IDVQ + DRSC + XNES,920,False,,2018-06-04,name this game
MuZero,454993.53,False,,2019-11-19,beam rider
MuZero (Res2 Adam),333077.44,False,,2021-04-13,beam rider
Agent57,300509.8,False,,2020-03-30,beam rider
R2D2,188257.4,False,,2019-05-01,beam rider
Ape-X,63305.2,False,,2018-03-02,beam rider
IQN,42776,False,,2018-06-14,beam rider
Prior+Duel hs,37412.2,False,,2015-09-22,beam rider
QR-DQN-1,34821,False,,2017-10-27,beam rider
IMPALA (deep),32463.47,False,,2018-02-05,beam rider
Prior hs,31181.3,False,,2015-11-18,beam rider
Prior+Duel noop,30276.5,False,,2015-11-20,beam rider
A3C LSTM hs,24622.2,False,,2016-02-04,beam rider
Bootstrapped DQN,23429.8,False,,2016-02-15,beam rider
Prior noop,23384.2,False,,2015-11-18,beam rider
NoisyNet-Dueling,23134,False,,2017-06-30,beam rider
A3C FF hs,22707.9,False,,2016-02-04,beam rider
DDQN (tuned) hs,17417.2,False,,2015-09-22,beam rider
DDRL A3C,14900,False,,2018-01-09,beam rider
Duel hs,14591.3,False,,2015-11-20,beam rider
C51 noop,14074.0,False,,2017-07-21,beam rider
DDQN (tuned) noop,13772.8,False,,2015-11-20,beam rider
A3C FF (1 day) hs,13235.9,False,,2016-02-04,beam rider
Persistent AL,13145.34,False,,2015-12-15,beam rider
Duel noop,12164.0,False,,2015-11-20,beam rider
Reactor 500M,11033.4,False,,2017-04-15,beam rider
DreamerV2,10193,False,,2020-10-05,beam rider
Advantage Learning,10054.58,False,,2015-12-15,beam rider
DQN hs,9743.2,False,,2015-09-22,beam rider
DQN noop,8627.5,False,,2015-09-22,beam rider
DDQN+Pop-Art noop,8299.4,False,,2016-02-24,beam rider
Nature DQN,6846.0,False,,,beam rider
UCT,6624.6,False,,2012-07-19,beam rider
MAC,6072,False,,2017-09-01,beam rider
RIMs-PPO,5320,False,,,beam rider
DQN Best,5184,False,,2013-12-19,beam rider
POP3D,4549,False,,2018-07-02,beam rider
Gorila,3822.1,False,,2015-07-15,beam rider
A2C + SIL,2366.2,False,,2018-06-14,beam rider
SARSA,1743.0,False,,,beam rider
CGP,1341.6,False,,2018-06-14,beam rider
Best Learner,929.4,False,,2012-07-19,beam rider
ES FF (1 hour) noop,744.0,False,,2017-03-10,beam rider
SAC,432.1,False,,2019-10-16,beam rider
MuZero,130345.58,False,,2019-11-19,gopher
R2D2,124776.3,False,,2019-05-01,gopher
MuZero (Res2 Adam),122882.5,False,,2021-04-13,gopher
Ape-X,120500.9,False,,2018-03-02,gopher
IQN,118365,False,,2018-06-14,gopher
Agent57,117777.08,False,,2020-03-30,gopher
QR-DQN-1,113585,False,,2017-10-27,gopher
Prior+Duel hs,105148.4,False,,2015-09-22,gopher
Prior+Duel noop,104368.2,False,,2015-11-20,gopher
IMPALA (deep),66782.30,False,,2018-02-05,gopher
DDQN+Pop-Art noop,56218.2,False,,2016-02-24,gopher
NoisyNet-Dueling,38909,False,,2017-06-30,gopher
Prior hs,34858.8,False,,2015-11-18,gopher
C51 noop,33641.0,False,,2017-07-21,gopher
Prior noop,32487.2,False,,2015-11-18,gopher
DreamerV2,30535,False,,2020-10-05,gopher
A2C + SIL,23304.2,False,,2018-06-14,gopher
UCT,20560,False,,2012-07-19,gopher
Duel hs,20051.4,False,,2015-11-20,gopher
Bootstrapped DQN,17438.4,False,,2016-02-15,gopher
A3C LSTM hs,17106.8,False,,2016-02-04,gopher
Duel noop,15718.4,False,,2015-11-20,gopher
DDQN (tuned) hs,15253.0,False,,2015-09-22,gopher
DDQN (tuned) noop,14840.8,False,,2015-11-20,gopher
Advantage Learning,11912.68,False,,2015-12-15,gopher
Persistent AL,10611.81,False,,2015-12-15,gopher
A3C FF hs,10022.8,False,,2016-02-04,gopher
DQN noop,8777.4,False,,2015-09-22,gopher
Nature DQN,8520.0,False,,,gopher
A3C FF (1 day) hs,8442.8,False,,2016-02-04,gopher
DQN hs,8190.4,False,,2015-09-22,gopher
POP3D,6207,False,,2018-07-02,gopher
DARQN soft,5356,False,,2015-12-05,gopher
Gorila,4373.0,False,,2015-07-15,gopher
SARSA,2368.0,False,,,gopher
CGP,1696,False,,2018-06-14,gopher
Best Learner,1288.3,False,,2012-07-19,gopher
CURL,801.4,False,,2020-04-08,gopher
ES FF (1 hour) noop,582.0,False,,2017-03-10,gopher
R2D2,999383.2,False,,2019-05-01,video pinball
Agent57,992340.74,False,,2020-03-30,video pinball
MuZero,981791.88,False,,2019-11-19,video pinball
C51 noop,949604.0,False,,2017-07-21,video pinball
NoisyNet-Dueling,870954,False,,2017-06-30,video pinball
MuZero (Res2 Adam),865543.44,False,,2021-04-13,video pinball
Bootstrapped DQN,811610,False,,2016-02-15,video pinball
QR-DQN-1,705662,False,,2017-10-27,video pinball
IQN,698045,False,,2018-06-14,video pinball
IMPALA (deep),572898.27,False,,2018-02-05,video pinball
Ape-X,565163.2,False,,2018-03-02,video pinball
Advantage Learning,543504,False,,2015-12-15,video pinball
Prior+Duel noop,479197.0,False,,2015-11-20,video pinball
A3C LSTM hs,470310.5,False,,2016-02-04,video pinball
A2C + SIL,461522.4,False,,2018-06-14,video pinball
Prior+Duel hs,447408.6,False,,2015-09-22,video pinball
DDQN (tuned) hs,367823.7,False,,2015-09-22,video pinball
A3C FF hs,331628.1,False,,2016-02-04,video pinball
DDQN (tuned) noop,309941.9,False,,2015-11-20,video pinball
Prior hs,295972.8,False,,2015-11-18,video pinball
Prior noop,282007.3,False,,2015-11-18,video pinball
UCT,254748,False,,2012-07-19,video pinball
DQN noop,196760.4,False,,2015-09-22,video pinball
A3C FF (1 day) hs,185852.6,False,,2016-02-04,video pinball
DQN hs,154414.1,False,,2015-09-22,video pinball
