Game,_Random ,_Human ,Bootstrapped DQN ,_DDQN ,_Nature
Alien,227.8,7127.7,2436.6,4007.7,3069
Amidar,5.8,1719.5,1272.5,2138.3,739.5
Assault,222.4,742,8047.1,6997.9,3359
Asterix,210,8503.3,19713.2,17366.4,6012
Asteroids,719.1,47388.7,1032,1981.4,1629
Atlantis,12850,29028.1,994500,767850,85641
Bank,14.2,753.1,1208,1109,429.7
Battle,2360,37187.5,38666.7,34620.7,26300
Beam,363.9,16926.5,23429.8,16650.7,6846
Bowling,23.1,160.7,60.2,77.9,42.4
Boxing,0.1,12.1,93.2,90.2,71.8
Breakout,1.7,30.5,855,437,401.2
Centipede,2090.9,12017,4553.5,4855.4,8309
Chopper,811,7387.8,4100,5019,6687
Crazy,10780.5,35829.4,137925.9,137244.4,114103
Demon,152.1,1971,82610,98450,9711
Double,-18.6,-16.4,3,-1.8,-18.1
Enduro,0,860.5,1591,1496.7,301.8
Fishing,-91.7,-38.7,26,19.8,-0.8
Freeway,0,29.6,33.9,33.4,30.3
Frostbite,65.2,4334.7,2181.4,2766.8,328.3
Gopher,257.6,2412.5,17438.4,13815.9,8520
Gravitar,173,3351.4,286.1,708.6,306.7
Hero,1027,30826.4,21021.3,20974.2,19950
Ice,-11.2,0.9,-1.3,-1.7,-1.6
Jamesbond,29,302.8,1663.5,1120.2,576.7
Kangaroo,52,3035,14862.5,14717.6,6740
Krull,1598,2665.5,8627.9,9690.9,3805
Kung,258.5,22736.3,36733.3,36365.7,23270
Montezuma,0,4753.3,100,0,0
Ms,307.3,6951.6,2983.3,3424.6,2311
Name,2292.3,8049,11501.1,11744.4,7257
Pong,-20.7,14.6,20.9,20.9,18.9
Private,24.9,69571.3,1812.5,158.4,1788
Qbert,163.9,13455,15092.7,15209.7,10596
Riverraid,1338.5,17118,12845,14555.1,8316
Road,11.5,7845,51500,49518.4,18257
Robotank,2.2,11.9,66.6,70.6,51.6
Seaquest,68.4,42054.7,9083.1,19183.9,5286
Space,148,1668.7,2893,4715.8,1976
Star,664,10250,55725,66091.2,57997
Tennis,-23.8,-8.3,0,11.8,-2.5
Time,3568,5229.2,9079.4,10075.8,5947
Tutankham,11.4,167.6,214.8,268,186.7
Up,533.4,11693.2,26231,19743.5,8456
Venture,0,1187.5,212.5,239.7,380
Video,0,17667.9,811610,685911,42684
Wizard,563.5,4756.5,6804.7,7655.7,3393
Zaxxon,32.5,9173.3,11491.7,12947.6,4977
