Game,Bellman,Advantage Learning,Persistent AL
ASTERIX,6074.98,12852.08,19564.9
BEAMRIDER,9316.1,10054.58,13145.34
PONG,19.8,19.66,19.76
SEAQUEST,5458.17,8670.5,13230.74
SPACEINVADERS,2067.19,3460.79,3277.59
ALIEN,3154.67,4990.91,5699.81
AMIDAR,969.88,1557.43,1451.65
ASSAULT,4573.67,3661.51,3304.33
ASTEROIDS,1827.97,1924.42,1673.52
ATLANTIS,636657.62,553591.67,1465250
BANKHEIST,511,633.63,874.99
BATTLEZONE,28082.91,28789.29,34583.07
BERZERK,667.61,747.26,1328.25
BOWLING,74.62,57.41,71.59
BOXING,88.66,93.94,94.3
BREAKOUT,378.69,425.32,431.89
CARNIVAL,5238.14,5111.4,4679.93
CENTIPEDE,5719.11,4225.18,4539.55
CHOPPERCOMMAND,8195.88,5431.36,5734.93
CRAZYCLIMBER,114105.56,123410.71,130002.71
DEFENDER†,16746.68,30643.59,32038.93
DEMONATTACK,23212.19,27153.48,70908.17
DOUBLEDUNK,-6.23,-0.15,-2.51
ELEVATORACTION,26675,27088.89,29100
ENDURO,776.14,1252.7,1343.1
FISHINGDERBY,11.65,21.32,28.13
FREEWAY,31.14,31.72,32.3
FROSTBITE,1485.42,2305.82,3248.96
GOPHER,8479.98,11912.68,10611.81
GRAVITAR,448.74,417.65,446.92
H.E.R.O.,18490.97,24788.86,24175.79
ICEHOCKEY,-2.13,-1.24,-0.25
JAMESBOND,867.84,848.46,772.09
KANGAROO,9157.98,10809.16,11478.46
KRULL,8500.48,9548.92,8689.81
KUNGFUMASTER,25977.53,32182.99,34650.91
MONTEZUMAREVENGE,0.64,0.42,1.72
MSPACMAN,3081.29,4065.8,3917.55
NAMETHISGAME,8585.03,11025.26,10431.33
PHOENIX,14278.95,22038.27,14495.56
PITFALL!,0,0,0
POOYAN,4736.79,4801.27,5858.84
PRIVATEEYE,957.83,5276.16,339.15
Q*BERT,10840.83,14368.03,14254.78
RIVERRAID,7315.2,10585.12,12813.27
ROADRUNNER,38042.07,52351.23,37856.16
ROBOTANK,61.97,69.31,70.53
SKIING,-13049.42,-13264.51,-12173.35
SOLARIS,4638.85,4785.16,3274.7
STARGUNNER ,55558.27,61353.59,61521.87
SURROUND,-5.79,-4.15,0.72
TENNIS,0,0,0
TIMEPILOT,5788.96,8969.12,8749.26
TUTANKHAM,200.17,245.22,197.33
UPANDDOWN,12831.57,13909.74,13542.07
VENTURE,373.79,198.69,243.75
VIDEOPINBALL ,611840.72,543504,542052
WIZARDOFWOR  ,2410.47,9541.14,10254.01
YAR’SREVENGE,21440.45,24240.03,17141.56
ZAXXON,6416.06,9129.61,8155.6
