Game,LASER Shared (50M),LASER Shared (200M),LASER No Sweep (200M),_Rainbow 
alien,18635.3,18277.3,35565.9,9491.7
amidar,1838.3,2695,1829.2,5131.2
assault,26027.1,40603.2,21560.4,14198.5
asterix,496735,240770,240090,428200
asteroids,232651,257420.1,213025,2712.8
atlantis,889934,866584,841200,826660
bank_heist,1333.1,1712.8,569.4,1358
battle_zone,66900,131880,64953.3,62010
beam_rider,80830.5,125795.2,90881.6,16850.2
berzerk,46651.6,64513.1,25579.5,2545.6
bowling,42.4,47.4,48.3,30
boxing,99.8,99.4,100,99.6
breakout,852.5,850.3,747.9,417.5
centipede,208008,409702.8,292792,8167.3
chopper_command,24814,727333,761699,16654
crazy_climber,160494,88818,167820,168788.5
defender,355447,369397,336953,55105
demon_attack,133557,138000.6,133530,111185
double_dunk,0.1,23.5,14,-0.3
enduro,0,0,0,2125.9
fishing_derby,45.4,62.6,45.2,31.3
freeway,34,34,0,34
frostbite,5297.4,2230.8,5083.5,9590.5
gopher,86222.2,39721.2,114820.7,70354.6
gravitar,1360.5,2812,1106.2,1419.3
hero,30159.2,36510.6,31628.7,55887.4
ice_hockey,20.2,38.7,17.4,1.1
jamesbond,21663,60402.5,37999.8,19809
kangaroo,13932,14187,14308,14637.5
krull,9559.3,5743.6,9387.5,8741.5
kung_fu_master,65032,81792,607443,52181
montezuma_revenge,1,1,0.3,384
ms_pacman,6089.3,6890.7,6565.5,5380.4
name_this_game,25998.9,27910.7,26219.5,13136
phoenix,458355,628711.6,519304,108529
pitfall,-0.2,-0.2,-0.6,0
pong,21,21,21,20.9
private_eye,100,100,96.3,4234
qbert,20283.8,24600.8,21449.6,33817.5
riverraid,24138.1,35491.5,40362.7,22920.8
road_runner,52942,63762,45289,62041
robotank,63.6,67.8,62.1,61.4
seaquest,1802.2,557213.3,2890.3,15898.9
skiing,-8904.8,-8980.1,-29968.4,-12957.8
solaris,2222.4,3017.6,2273.5,3560.3
space_invaders,36071.4,53124.3,51037.4,18789
star_gunner,331327,602540,321528,127029
surround,9.8,9.8,8.4,9.7
tennis,0,0,12.2,0
time_pilot,77899,113603,105316,12926
tutankham,251.8,268.5,278.9,241
up_n_down,341988,368586.5,345727,125755
venture,0,0,0,5.5
video_pinball,513121,397451,511835,533936.5
wizard_of_wor,22280,45335,29059.3,17862.5
yars_revenge,145055,144370,166292.3,102557
zaxxon,50486,106862,41118,22209.5
