Algorithm,Score,Extra Training Data,Paper Title,Date,Game
R2D2,79.3,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019,icehockey
MuZero,67.04,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019,icehockey
Agent57,63.64,False,Agent57: Outperforming the Atari Human Benchmark,2020,icehockey
GDI-H3(200M frames),47.11,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,icehockey
GDI-I3,44.94,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,icehockey
MuZero (Res2 Adam),41.66,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021,icehockey
UCT,39.4,False,The Arcade Learning Environment: An Evaluation Platform for General Agents,2012,icehockey
Ape-X,33,False,Distributed Prioritized Experience Replay,2018,icehockey
DreamerV2,26,False,Mastering Atari with Discrete World Models,2020,icehockey
FQF,17.3,False,Fully Parameterized Quantile Function for Distributional Reinforcement Learning,2019,icehockey
CGP,4,False,Evolving simple programs for playing Atari games,2018,icehockey
IMPALA (deep),3.48,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018,icehockey
NoisyNet-Dueling,3,False,Noisy Networks for Exploration,2017,icehockey
Prior noop,1.3,False,Prioritized Experience Replay,2015,icehockey
Duel noop,0.5,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,icehockey
Prior+Duel hs,0.5,False,Deep Reinforcement Learning with Double Q-learning,2015,icehockey
IQN,0.2,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018,icehockey
SARSA,-3.2,False,,,icehockey
Nature DQN,-1.6,False,,,icehockey
Gorila,-1.7,False,Massively Parallel Methods for Deep Reinforcement Learning,2015,icehockey
DQN hs,-1.6,False,Deep Reinforcement Learning with Double Q-learning,2015,icehockey
DQN noop,-1.9,False,Deep Reinforcement Learning with Double Q-learning,2015,icehockey
Duel hs,-1.3,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,icehockey
DDQN (tuned) noop,-2.7,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,icehockey
DDQN (tuned) hs,-2.5,False,Deep Reinforcement Learning with Double Q-learning,2015,icehockey
Prior hs,-0.2,False,Prioritized Experience Replay,2015,icehockey
DDQN+Pop-Art noop,-4.1,False,Learning values across many orders of magnitude,2016,icehockey
Prior+Duel noop,-0.4,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,icehockey
A3C LSTM hs,-1.7,False,Asynchronous Methods for Deep Reinforcement Learning,2016,icehockey
A3C FF hs,-2.8,False,Asynchronous Methods for Deep Reinforcement Learning,2016,icehockey
A3C FF (1 day) hs,-4.7,False,Asynchronous Methods for Deep Reinforcement Learning,2016,icehockey
ES FF (1 hour) noop,-4.1,False,Evolution Strategies as a Scalable Alternative to Reinforcement Learning,2017,icehockey
C51 noop,-3.5,False,A Distributional Perspective on Reinforcement Learning,2017,icehockey
Bootstrapped DQN,-1.3,False,Deep Exploration via Bootstrapped DQN,2016,icehockey
Persistent AL,-0.25,False,Increasing the Action Gap: New Operators for Reinforcement Learning,2015,icehockey
Advantage Learning,-1.24,False,Increasing the Action Gap: New Operators for Reinforcement Learning,2015,icehockey
QR-DQN-1,-1.7,False,Distributional Reinforcement Learning with Quantile Regression,2017,icehockey
A2C + SIL,-2.4,False,Self-Imitation Learning,2018,icehockey
POP3D,-4.12,False,Policy Optimization With Penalized Point Probability Distance: An Alternative To Proximal Policy Optimization,2018,icehockey
Best Learner,-9.5,False,The Arcade Learning Environment: An Evaluation Platform for General Agents,2012,icehockey
Agent57,580328.14,False,Agent57: Outperforming the Atari Human Benchmark,2020,qbert
QR-DQN-1,572510,False,Distributional Reinforcement Learning with Quantile Regression,2017,qbert
R2D2,408850.0,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019,qbert
IMPALA (deep),351200.12,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018,qbert
Ape-X,302391.3,False,Distributed Prioritized Experience Replay,2018,qbert
A2C + SIL,104975.6,False,Self-Imitation Learning,2018,qbert
MuZero (Res2 Adam),94906.25,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021,qbert
DreamerV2,94688,False,Mastering Atari with Discrete World Models,2020,qbert
MuZero,72276.00,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019,qbert
GDI-H3(200M frames),28657,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,qbert
GDI-I3,27800,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021,qbert
NoisyNet-Dueling,27121,False,Noisy Networks for Exploration,2017,qbert
IQN,25750,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018,qbert
C51 noop,23784,False,A Distributional Perspective on Reinforcement Learning,2017,qbert
A3C LSTM hs,21307.5,False,Asynchronous Methods for Deep Reinforcement Learning,2016,qbert
Duel noop,19220.3,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,qbert
Prior+Duel noop,18760.3,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,qbert
UCT,17343.4,False,The Arcade Learning Environment: An Evaluation Platform for General Agents,2012,qbert
Prior noop,16256.5,False,Prioritized Experience Replay,2015,qbert
MP-EB,15805,False,Incentivizing Exploration In Reinforcement Learning With Deep Predictive Models,2015,qbert
POP3D,15396.67,False,Policy Optimization With Penalized Point Probability Distance: An Alternative To Proximal Policy Optimization,2018,qbert
A3C FF hs,15148.8,False,Asynchronous Methods for Deep Reinforcement Learning,2016,qbert
Bootstrapped DQN,15092.7,False,Deep Exploration via Bootstrapped DQN,2016,qbert
DDQN (tuned) noop,15088.5,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,qbert
VPN,14517,False,Value Prediction Network,2017,qbert
Rational DQN Average,14436,False,Adaptive Rational Activations to Boost Deep Reinforcement Learning,2021,qbert
Advantage Learning,14368.03,False,Increasing the Action Gap: New Operators for Reinforcement Learning,2015,qbert
Duel hs,14175.8,False,Dueling Network Architectures for Deep Reinforcement Learning,2015,qbert
MFEC,14135,False,Model-Free Episodic Control with State Aggregation,2020,qbert
Recurrent Rational DQN Average,14080,False,Adaptive Rational Activations to Boost Deep Reinforcement Learning,2021,qbert
Prior+Duel hs,14063,False,Deep Reinforcement Learning with Double Q-learning,2015,qbert
A3C FF (1 day) hs,13752.3,False,Asynchronous Methods for Deep Reinforcement Learning,2016,qbert
DQN noop,13117.3,False,Deep Reinforcement Learning with Double Q-learning,2015,qbert
DDQN (tuned) hs,11020.8,False,Deep Reinforcement Learning with Double Q-learning,2015,qbert
Nature DQN,10596,False,,,qbert
Prior hs,9944,False,Prioritized Experience Replay,2015,qbert
DQN hs,9271.5,False,Deep Reinforcement Learning with Double Q-learning,2015,qbert
Gorila,7089.8,False,Massively Parallel Methods for Deep Reinforcement Learning,2015,qbert
DDQN+Pop-Art noop,5236.8,False,Learning values across many orders of magnitude,2016,qbert
DQN Best,4500,False,Playing Atari with Deep Reinforcement Learning,2013,qbert
