Game,DQN (noop),DDQN (noop),Priority DDQN (noop),Duel DDQN (noop),Distrib DQN (noop),Noisy DQN (noop),Rainbow (noop)
alien,1620,3747.7,6648.6,4461.4,4055.8,2394.9,9491.7
amidar,978,1793.3,2051.8,2354.5,1267.9,1608,5131.2
assault,4280,5393.2,7965.7,4621,5909,5198.6,14198.5
asterix,4359,17356.5,41268,28188,400529.5,12403.8,428200.3
asteroids,1364.5,734.7,1699.3,2837.7,2354.7,4814.1,2712.8
atlantis,279987,106056,427658,382572,273895,329010,826659.5
bank,455,1030.6,1126.8,1611.9,1056.7,1323,1358
battle,29900,31700,38130,37150,41145,32050,62010
beam,8627.5,13772.8,22430.7,12164,13213.4,12534,16850.2
berzerk,585.6,1225.4,1614.2,1472.6,1421.8,837.3,2545.6
bowling,50.4,68.1,62.6,65.5,74.1,77.3,30
boxing,88,91.6,98.8,99.4,98.1,83.3,99.6
breakout,385.5,418.5,381.5,345.3,612.5,459.1,417.5
centipede,4657.7,5409.4,5175.4,7561.4,9015.5,4355.8,8167.3
chopper,6126,5809,5135,11215,13136,9519,16654
crazy,110763,117282,183137,143570,178355,118768,168788.5
defender,23633,35338.5,24162.5,42214,37896.8,23083,55105
demon,12149.4,58044.2,70171.8,60813.3,110626.5,24950.1,111185.2
double,-6.6,-5.5,4.8,0.1,-3.8,-1.8,-0.3
enduro,729,1211.8,2155,2258.2,2259.3,1129.2,2125.9
fishing,-4.9,15.5,30.2,46.4,9.1,7.7,31.3
freeway,30.8,33.3,32.9,0,33.6,32,34
frostbite,797.4,1683.3,3421.6,4672.8,3938.2,583.6,9590.5
gopher,8777.4,14840.8,49097.4,15718.4,28841,15107.9,70354.6
gravitar,473,412,330.5,588,681,443.5,1419.3
hero,20437.8,20130.2,27153.9,20818.2,33860.9,5053.1,55887.4
ice,-1.9,-2.7,0.3,0.5,1.3,-2.1,1.1
kangaroo,7259,12992,14492,14854,12909,12117,14637.5
krull,8422.3,7920.5,10263.1,11451.9,9885.9,9061.9,8741.5
kung,26059,29710,43470,34294,43009,34099,52181
montezuma,0,0,0,0,367,0,384
ms,3085.6,2711.4,4751.2,6283.5,3769.2,2501.6,5380.4
name,8207.8,10616,13439.4,11971.1,12983.6,8332.4,13136
phoenix,8485.2,12252.5,32808.3,23092.2,34775,16974.3,108528.6
pitfall,-286.1,-29.9,0,0,-2.1,-18.2,0
pong,19.5,20.9,20.7,21,20.8,21,20.9
private,146.7,129.7,200,103,15172.9,3966,4234
qbert,13117.3,15088.5,18802.8,19220.3,16956,15276.3,33817.5
road,39544,44127,62785,69524,63366,41681,62041
robotank,63.9,65.1,58.6,65.3,54.2,53.5,61.4
seaquest,5860.6,16452.7,44417.4,50254.2,4754.4,2495.4,15898.9
skiing,-13062.3,-9021.8,-9900.5,-8857.4,-14959.8,-16307.3,-12957.8
solaris,3482.8,3067.8,1710.8,2250.8,5643.1,3204.5,3560.3
space,1692.3,2525.5,7696.9,6427.3,6869.1,2145.5,18789
star,54282,60142,56641,89238,69306.5,34504.5,127029
surround,-5.6,-2.9,2.1,4.4,6.2,-3.3,9.7
tennis,12.2,-22.8,0,5.1,23.6,0,0
time,4870,8339,11448,11666,7875,6157,12926
tutankham,68.1,218.4,87.2,211.4,249.4,231.6,241
venture,163,98,863,497,1107,0,5.5
video,196760.4,309941.9,406420.4,98209.5,478646.7,270444.6,533936.5
wizard,2704,7492,10373,7855,15994.5,5432,17862.5
yars,18089.9,11712.6,16451.7,49622.1,16608.6,9570.1,102557
zaxxon,5363,10163,13490,12944,18347.5,9390,22209.5
upndown,8000,16000,16000,16000,16000,8000,103600
riverraid ,5440,14343,20000,20860,18730,7690,22500
