Game,Human Ref,R2D2 Ref,SEED 8 TPU v3 cores
Alien,7127.7,229496.9,262197.4
Amidar,1719.5,29321.4,28976.4
Assault,742,108197,102954.7
Asterix,8503.3,999153.3,983821
Asteroids,47388.7,357867.7,296783
Atlantis,29028.1,1620764,1612438
BankHeist,753.1,24235.9,47080.6
BattleZone,37187.5,751880,777200
BeamRider,16926.5,188257.4,173505.3
Berzerk,2630.4,53318.7,57530.4
Bowling,160.7,219.5,204.2
Boxing,12.1,98.5,100
Breakout,30.5,837.7,854.1
Centipede,12017,599140.3,574373.1
ChopperCommand,7387.8,986652,994991
CrazyClimber,35829.4,366690.7,337756
Defender,18688.9,665792,555427.2
DemonAttack,1971,140002.3,143748.6
DoubleDunk,-16.4,23.7,24
Enduro,860.5,2372.7,2369.3
FishingDerby,-38.7,85.8,75
Freeway,29.6,32.5,33
Frostbite,4334.7,315456.4,101726.8
Gopher,2412.5,124776.3,117650.4
Gravitar,3351.4,15680.7,7813.8
Hero,30826.4,39537.1,37223.1
IceHockey,0.9,79.3,79.2
Jamesbond,302.8,25354,25987
Kangaroo,3035,14130.7,13862
Krull,2665.5,218448.1,113224.8
KungFuMaster,22736.3,233413.3,239713
MontezumaRevenge,4753.3,2061.3,900
MsPacman,6951.6,42281.7,43115.4
NameThisGame,8049,58182.7,68836.2
Phoenix,7242.6,864020,915929.6
Pitfall,6463.7,0,-0.1
Pong,14.6,21,21
PrivateEye,69571.3,5322.7,198
Qbert,13455,408850,546857.5
Riverraid,17118,45632.1,36906.4
RoadRunner,7845,599246.7,601220
Robotank,11.9,100.4,104.8
Seaquest,42054.7,999996.7,999990.2
Skiing,-4336.9,-30021.7,-29973.6
Solaris,12326.7,3787.2,861.6
SpaceInvaders,1668.7,43223.4,62957.8
StarGunner,10250,717344,448480
Surround,6.5,9.9,9.8
Tennis,-8.3,-0.1,23.9
TimePilot,5229.2,445377.3,444527
Tutankham,167.6,395.3,376.5
UpNDown,11693.2,589226.9,549355.4
Venture,1187.5,1970.7,2005.5
VideoPinball,17667.9,999383.2,979432.1
WizardOfWor,4756.5,144362.7,136352.5
YarsRevenge,54576.9,995048.4,973319
Zaxxon,9173.3,224910.7,168816.5
