,Algorithm,Score,Extra Training Data,Paper Title,Date,Game,Source,Random,Human,Normalized,LogNormalized,In57,train,good
0,R2D2,79.3,False,Recurrent Experience Replay in Distributed Reinforcement Learning,2019.0,icehockey,PapersWithCode,-11.15,0.9,750.6224066390041,2.875999718387814,True,True,True
1,MuZero,67.04,False,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",2019.0,icehockey,PapersWithCode,-11.15,0.9,648.8796680497926,2.812832949966137,True,True,True
2,Agent57,63.64,False,Agent57: Outperforming the Atari Human Benchmark,2020.0,icehockey,PapersWithCode,-11.15,0.9,620.6639004149378,2.793555648925525,True,True,True
3,GDI-H3(200M frames),47.11,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021.0,icehockey,PapersWithCode,-11.15,0.9,483.4854771784232,2.685280763273672,True,True,True
4,GDI-I3,44.94,False,GDI: Rethinking What Makes Reinforcement Learning Different From Supervised Learning,2021.0,icehockey,PapersWithCode,-11.15,0.9,465.47717842323647,2.668830401507387,True,True,True
5,MuZero (Res2 Adam),41.66,False,Online and Offline Reinforcement Learning by Planning with a Learned Model,2021.0,icehockey,PapersWithCode,-11.15,0.9,438.25726141078826,2.642718949597201,True,True,True
6,Ape-X,33.0,False,Distributed Prioritized Experience Replay,2018.0,icehockey,PapersWithCode,-11.15,0.9,366.3900414937759,2.565127380105564,True,True,True
7,DreamerV2,26.0,False,Mastering Atari with Discrete World Models,2020.0,icehockey,PapersWithCode,-11.15,0.9,308.29875518672196,2.490378172131774,True,True,True
9,CGP,4.0,False,Evolving simple programs for playing Atari games,2018.0,icehockey,PapersWithCode,-11.15,0.9,125.72614107883817,2.1028662104262086,True,True,True
10,IMPALA (deep),3.48,False,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018.0,icehockey,PapersWithCode,-11.15,0.9,121.41078838174273,2.0878196950006216,True,True,True
11,NoisyNet-Dueling,3.0,False,Noisy Networks for Exploration,2017.0,icehockey,PapersWithCode,-11.15,0.9,117.42738589211618,2.0734521429827915,True,True,True
12,Prior noop,1.3,False,Prioritized Experience Replay,2015.0,icehockey,PapersWithCode,-11.15,0.9,103.31950207468878,2.0183655054705603,True,True,True
13,Prior+Duel hs,0.5,False,Deep Reinforcement Learning with Double Q-learning,2015.0,icehockey,PapersWithCode,-11.15,0.9,96.6804979253112,1.989807864754024,True,True,True
14,IQN,0.2,False,Implicit Quantile Networks for Distributional Reinforcement Learning,2018.0,icehockey,PapersWithCode,-11.15,0.9,94.1908713692946,1.978595302333724,True,True,True
16,Nature DQN,-1.6,False,,,icehockey,PapersWithCode,-11.15,0.9,79.25311203319502,1.9044618823558999,True,True,True
17,Gorila,-1.7,False,Massively Parallel Methods for Deep Reinforcement Learning,2015.0,icehockey,PapersWithCode,-11.15,0.9,78.42323651452283,1.8999475806850312,True,True,True
18,DQN hs,-1.6,False,Deep Reinforcement Learning with Double Q-learning,2015.0,icehockey,PapersWithCode,-11.15,0.9,79.25311203319502,1.9044618823558999,True,True,True
19,Duel hs,-1.3,False,Dueling Network Architectures for Deep Reinforcement Learning,2015.0,icehockey,PapersWithCode,-11.15,0.9,81.74273858921161,1.9177298909189346,True,True,True
20,DDQN (tuned) hs,-2.5,False,Deep Reinforcement Learning with Double Q-learning,2015.0,icehockey,PapersWithCode,-11.15,0.9,71.78423236514523,1.8620373059820778,True,True,True
